id_site,cd_study,cd_rvr,nm_rvr,rmi_start_bel,rmi_end_bel,tm_start,tm_end,amt_effort_sec
123d_2020_078,123d,CO,Colorado River,113.2,112.4,2020-07-09 20:05:02 UTC,2020-07-09 20:42:06 UTC,1443
123d_2020_066,123d,GR,Green River,128.5,126.7,2020-06-30 15:39:53 UTC,2020-06-30 17:16:23 UTC,2714
123d_2020_017,123d,GR,Green River,128.0,127.5,2020-04-14 16:53:34 UTC,2020-04-14 18:05:56 UTC,3274
123d_2020_026,123d,GR,Green River,128.0,127.0,2020-04-24 15:04:05 UTC,2020-04-24 18:26:34 UTC,3819
123d_2020_049,123d,GR,Green River,128.0,127.0,2020-06-03 16:33:22 UTC,2020-06-03 17:59:29 UTC,3463
123d_2020_001,123d,GR,Green River,128.3,127.8,2020-03-20 16:25:23 UTC,2020-03-20 17:38:59 UTC,2670
123d_2020_043,123d,GR,Green River,128.0,125.4,2020-05-26 19:17:39 UTC,2020-05-26 20:46:05 UTC,4063
123d_2020_045,123d,CO,Colorado River,116.5,114.3,2020-05-28 14:24:08 UTC,2020-05-28 18:46:36 UTC,3925
123d_2020_035,123d,GR,Green River,128.0,126.0,2020-05-12 17:59:53 UTC,2020-05-12 19:30:04 UTC,3522
123d_2020_040,123d,CO,Colorado River,114.6,112.5,2020-05-19 18:42:22 UTC,2020-05-19 20:35:03 UTC,2319
123d_2020_041,123d,CO,Colorado River,110.5,109.3,2020-05-21 16:15:46 UTC,2020-05-21 17:11:27 UTC,2640
123d_2020_073,123d,CO,Colorado River,116.0,114.3,2020-07-02 17:43:11 UTC,2020-07-02 19:38:33 UTC,2801
123d_2020_077,123d,CO,Colorado River,114.3,112.4,2020-07-09 16:22:01 UTC,2020-07-09 18:57:01 UTC,5481
123d_2020_055,123d,CO,Colorado River,115.0,113.0,2020-06-23 17:56:09 UTC,2020-06-23 19:57:01 UTC,2908
123d_2020_032,123d,CO,Colorado River,114.4,112.0,2020-05-01 18:53:07 UTC,2020-05-01 20:14:08 UTC,3252
123d_2020_031,123d,CO,Colorado River,116.6,114.4,2020-05-01 14:57:21 UTC,2020-05-01 18:25:32 UTC,3603
123d_2020_054,123d,CO,Colorado River,115.0,114.0,2020-06-23 15:17:19 UTC,2020-06-23 17:18:04 UTC,3082
123d_2020_042,123d,CO,Colorado River,113.8,111.9,2020-05-21 18:06:42 UTC,2020-05-21 20:21:55 UTC,3808
123d_2020_039,123d,CO,Colorado River,116.0,114.6,2020-05-19 16:27:17 UTC,2020-05-19 18:19:20 UTC,3679
123d_2020_047,123d,CO,Colorado River,113.1,111.8,2020-06-02 16:37:11 UTC,2020-06-02 18:06:02 UTC,2406
123d_2020_075,123d,CO,Colorado River,114.3,112.9,2020-07-02 20:00:06 UTC,2020-07-02 20:45:44 UTC,1740
123d_2020_048,123d,CO,Colorado River,111.8,109.0,2020-06-02 18:31:29 UTC,2020-06-02 22:07:02 UTC,5269
123d_2020_076,123d,CO,Colorado River,116.3,114.0,2020-07-09 13:32:30 UTC,2020-07-09 15:55:30 UTC,4854
123d_2020_037,123d,CO,Colorado River,116.0,115.0,2020-05-15 16:25:38 UTC,2020-05-15 18:30:31 UTC,3704
123d_2020_038,123d,CO,Colorado River,115.0,114.3,2020-05-15 19:14:55 UTC,2020-05-15 20:45:12 UTC,3895
123d_2020_046,123d,CO,Colorado River,114.3,113.0,2020-05-28 19:08:30 UTC,2020-05-28 20:52:54 UTC,4092
